2026-05-15 22:25:37,547 | Preprocessing | ERROR | Pipeline run has failed in cleaning: name 'text_list' is not defined
2026-05-17 06:16:46,198 | Main Runner | INFO | Starting the Model building and Training Pipeline
2026-05-17 06:16:46,199 | PipelineRunner | INFO | Starting pipeline run
2026-05-17 06:16:46,199 | PipelineRunner | INFO | Loading data
2026-05-17 06:16:46,201 | PipelineRunner | ERROR | Pipeline run has failed: 'data'
2026-05-17 06:16:46,201 | Main Runner | ERROR | Pipeline failed with an error
Traceback (most recent call last):
  File "E:\PythonCertificates\Snapchat Sentiment Analysis\pipeline\ml_build\main.py", line 13, in main
    raise Exception("Pipeline runner did not complete successfully")
Exception: Pipeline runner did not complete successfully
2026-05-17 06:18:02,452 | Main Runner | INFO | Starting the Model building and Training Pipeline
2026-05-17 06:18:02,453 | PipelineRunner | INFO | Starting pipeline run
2026-05-17 06:18:02,453 | PipelineRunner | INFO | Loading data
2026-05-17 06:18:03,845 | PipelineRunner | INFO | Data loaded successfully
2026-05-17 06:18:03,846 | PipelineRunner | INFO | Multilingual setting: False
2026-05-17 06:18:03,846 | PipelineRunner | INFO | No translation needed using original text
2026-05-17 06:18:03,848 | PipelineRunner | INFO | Scoring sentiment based on original labels
2026-05-17 06:18:03,868 | PipelineRunner | INFO | Sentiment scoring completed
2026-05-17 06:18:03,868 | PipelineRunner | INFO | Running Roberta sentiment analysis pipeline
2026-05-17 06:18:03,868 | PipelineBuilder | INFO | Building Roberta sentiment analysis pipeline
2026-05-17 06:18:03,868 | PipelineBuilder | INFO | Roberta sentiment analysis pipeline built successfully
2026-05-17 06:18:03,869 | PipelineRunner | INFO | Training and saving Roberta sentiment pipeline
2026-05-17 06:18:03,869 | Training | INFO | Starting sentiment pipeline training
2026-05-17 09:08:33,240 | Training | INFO | Sentiment pipeline fitted successfully, calculating accuracy score and classification report
2026-05-17 09:08:33,493 | Training | INFO | Sentiment Model Accuracy Score: 0.6714284996962134
2026-05-17 09:08:33,496 | Training | INFO | Saved sentiment accuracy score to file
2026-05-17 09:08:34,597 | Training | INFO | Saved sentiment classification report to file
2026-05-17 09:08:36,441 | Training | INFO | Saved sentiment confusion matrix to file
2026-05-17 09:08:36,449 | Training | INFO | Sentiment model saved successfully
2026-05-17 09:08:36,450 | Training | INFO | Sentiment model training completed successfully
2026-05-17 09:08:36,450 | PipelineRunner | INFO | Roberta sentiment pipeline trained and saved successfully
2026-05-17 09:08:36,451 | PipelineRunner | INFO | Running LDA topic modeling pipeline
2026-05-17 09:08:36,451 | PipelineRunner | INFO | LDA parameters - maxdf: 0.9, mindf: 5, number of topics: 19, learning method: batch
2026-05-17 09:08:36,451 | PipelineRunner | INFO | Building LDA pipeline
2026-05-17 09:08:36,452 | PipelineBuilder | INFO | Building LDA topic modeling pipeline
2026-05-17 09:08:36,456 | PipelineBuilder | INFO | LDA pipeline built successfully
2026-05-17 09:08:36,456 | PipelineRunner | INFO | LDA pipeline built successfully
2026-05-17 09:08:36,456 | PipelineRunner | INFO | Training and saving LDA pipeline
2026-05-17 09:08:36,458 | Training | INFO | Starting LDA model training
2026-05-17 09:08:36,460 | Training | ERROR | Failed to train LDA model: 'float' object has no attribute 'split'
2026-05-17 09:08:36,460 | PipelineRunner | ERROR | Pipeline run has failed: LDA pipeline failed during training and saving
2026-05-17 09:08:37,324 | Main Runner | ERROR | Pipeline failed with an error
Traceback (most recent call last):
  File "E:\PythonCertificates\Snapchat Sentiment Analysis\pipeline\ml_build\main.py", line 13, in main
    raise Exception("Pipeline runner did not complete successfully")
Exception: Pipeline runner did not complete successfully
2026-05-17 10:08:03,158 | Main Runner | INFO | Starting the Model building and Training Pipeline
2026-05-17 10:08:03,158 | PipelineRunner | INFO | Starting pipeline run
2026-05-17 10:08:03,158 | PipelineRunner | INFO | Loading data
2026-05-17 10:08:04,528 | PipelineRunner | INFO | Data loaded successfully
2026-05-17 10:08:04,528 | PipelineRunner | INFO | Multilingual setting: False
2026-05-17 10:08:04,568 | PipelineRunner | INFO | No translation needed using original text
2026-05-17 10:08:04,569 | PipelineRunner | INFO | Scoring sentiment based on original labels
2026-05-17 10:08:04,588 | PipelineRunner | INFO | Sentiment scoring completed
2026-05-17 10:08:04,590 | PipelineRunner | INFO | Running Roberta sentiment analysis pipeline
